city,year,income,expend,deposit,gdp
上海,2006,1576.0742,1795.566,8730.0,10825.4
上海,2007,2074.4792,2181.678,8745.22,13179.8
上海,2008,2358.7464,2593.9161,11464.15,14877.1
上海,2009,2540.2975,2989.65,13707.32,16181.4
上海,2010,2873.584,3302.8862,15650.2391213502,18319.6
上海,2011,3429.83,3914.88,17288.4547267085,20406.1
上海,2012,3743.7053,4184.017,19506.7,21774.9
上海,2013,4109.5086,4528.6079,20486.2536071674,23809.4
上海,2014,4585.5534,4923.4372,21269.3,25964.5
上海,2015,5519.5,6191.5601,23384.7295,27821.6
上海,2016,6406.13,6918.94,23639.8015,30963.9
上海,2017,6642.2638,7547.6208,24338.48,34378.3
上海,2018,7108.148,8351.5376,27071.74,37769.1
上海,2019,7165.0984,8179.284,31727.73,40241.2
上海,2020,7046.2987,8102.112,36733.9728,41603.9
上海,2021,7771.8002,8430.8562,41150.4,47059.4
上海,2022,7608.0,9393.0,52638.0,48594.5
上海,2023,8312.5,9638.51,58319.9286,51404.5
上海,2024,8374.1665,9874.8381,63910.9863,53759.5
乌鲁木齐,2006,57.0356,49.5342,678.16,654.3019
乌鲁木齐,2007,73.4279,68.3153,679.53,820.28
乌鲁木齐,2008,100.98,99.35,872.22,1020.3488
乌鲁木齐,2009,113.538,133.8811,1040.707,1095.0
乌鲁木齐,2010,147.9938,159.6108,1242.8526,1338.5
乌鲁木齐,2011,229.5887,238.4851,1470.3412,1690.0347
乌鲁木齐,2012,252.0052,295.6004,1715.9659,2004.1
乌鲁木齐,2013,301.9047,353.2024,1896.3048,2202.8545
乌鲁木齐,2014,340.6243,404.8053,1974.84,2461.4698
乌鲁木齐,2015,368.6663,446.6619,2157.3093,2631.6398
乌鲁木齐,2016,369.6734,417.5628,2295.6888,2458.9766
乌鲁木齐,2017,400.7781,458.5812,2600.3858,2743.8202
乌鲁木齐,2018,458.2753,659.7858,2871.1134,3099.7659
乌鲁木齐,2019,472.4647,620.2786,3171.7101,3413.0
乌鲁木齐,2020,392.6378,536.8738,3680.2754,3337.0
乌鲁木齐,2021,377.926,419.5874,4027.8586,3691.57
乌鲁木齐,2022,314.8203,455.7678,4647.5182,3893.22
乌鲁木齐,2023,369.7888,504.0517,5305.9981,4168.0
乌鲁木齐,2024,371.3048,465.5229,5905.76,4502.16
兰州,2006,33.1417,63.1321,687.7518,638.4705
兰州,2007,46.6256,83.2982,649.6569,732.7581
兰州,2008,50.8618,99.6601,823.83,846.2811
兰州,2009,57.0385,119.8342,1089.9721,926.0
兰州,2010,72.7579,146.9264,1295.9451,1100.4
兰州,2011,86.4897,175.4806,1480.1626,1360.0299
兰州,2012,103.7303,202.5976,1743.1811,1563.8
兰州,2013,124.4956,242.3426,2021.5573,1776.2823
兰州,2014,152.3299,280.1041,2262.9407,2000.9389
兰州,2015,185.1917,344.0019,2608.5399,2095.992
兰州,2016,215.4794,424.1597,2796.2448,2264.2318
兰州,2017,234.2001,429.3614,2949.2658,2523.5441
兰州,2018,253.3169,465.6417,3244.0812,2732.9373
兰州,2019,233.2261,456.6617,3571.176,2837.0
兰州,2020,247.131,486.2409,3859.627,2887.0
兰州,2021,276.7279,484.589,4082.9699,3231.29
兰州,2022,220.9765,498.7969,4569.2581,3343.5
兰州,2023,255.3279,502.9172,5130.1717,3487.0
兰州,2024,251.9062,547.6361,5639.5427,3742.25
北京,2006,1117.1514,1296.8389,8705.6,8618.9
北京,2007,1492.638,1649.5023,9155.34,10730.4
北京,2008,1837.3238,1959.2857,11952.84,12167.6
北京,2009,2026.8089,2319.3658,14672.1,13335.7
北京,2010,2353.9301,2717.3174,17003.1121859824,15420.2
北京,2011,3006.28,3245.23,19126.1369907331,17653.3
北京,2012,3314.934,3685.3076,21644.9,19568.3
北京,2013,3661.1097,4173.6563,23086.4149916846,21746.0
北京,2014,4027.1609,4524.669,24158.4,23577.5
北京,2015,4723.86,5737.7011,23913.967,26034.1
北京,2016,5081.26,6406.77,28012.0329,28438.7
北京,2017,5430.7875,6824.5284,28962.2,31325.9
北京,2018,5785.9176,7471.4332,34018.9631,35161.4
北京,2019,5817.0994,7408.1876,37309.675,37767.0
北京,2020,5483.8866,7116.1764,42888.765,38503.6
北京,2021,5932.308,7205.1201,47184.3121,44350.7
北京,2022,5714.3583,7469.1547,56915.7573,45222.4
北京,2023,6181.1,7971.25,64020.3563,47353.7
北京,2024,6372.6778,8396.486,70398.146,49670.2
南京,2006,246.4392,262.4614,1834.88,2773.78
南京,2007,330.1883,342.9386,1951.1599,3283.73
南京,2008,386.56,404.6656,2505.3308,3775.0
南京,2009,434.508,461.2662,3056.3486,4230.0
南京,2010,518.8008,542.1812,3511.85,5130.7
南京,2011,635.0018,666.2056,3910.2037,6145.52
南京,2012,733.0168,769.6569,4465.37,7201.6
南京,2013,831.3076,850.9085,4883.29,8011.78
南京,2014,903.489,921.2047,5055.7718,8820.75
南京,2015,1020.03,1045.57,5535.5266,9720.77
南京,2016,1142.6,1173.84,5894.468,10503.02
南京,2017,1271.9111,1354.0873,6019.7012,11715.1
南京,2018,1470.0152,1532.7156,6914.8437,12820.4
南京,2019,1580.03,1658.07,8299.64,14031.0
南京,2020,1637.7,1754.619,9499.2456,14818.0
南京,2021,1729.518,1817.728,10636.7754,16356.0
南京,2022,1558.2064,1828.6941,13078.0479,16907.85
南京,2023,1619.9827,1838.6959,15228.9498,17421.0
南京,2024,1596.0247,1705.2595,17091.8481,18500.81
南宁,2006,56.6221,93.0781,681.4522,870.1481
南宁,2007,70.151,118.0007,714.7919,1069.0099
南宁,2008,191.1682,166.083,88.6542,1316.2137
南宁,2009,120.4628,203.5519,1116.1975,1525.0
南宁,2010,156.0958,261.2785,1375.8853,1800.3
南宁,2011,186.2924,302.3075,1581.0297,2211.4
南宁,2012,229.7183,376.5096,1863.8024,2503.2
南宁,2013,256.2469,418.3976,2321.1576,2803.5444
南宁,2014,274.8517,465.7759,2529.8556,3148.2973
南宁,2015,297.0501,526.7231,2700.3678,3410.0859
南宁,2016,312.7921,586.9793,2924.5457,3703.33
南宁,2017,332.15,646.3707,3176.6881,4118.8292
南宁,2018,358.956,697.9853,3542.8272,4026.9053
南宁,2019,370.9283,789.1986,3960.3083,4507.0
南宁,2020,372.2519,819.8554,4415.3458,4726.0
南宁,2021,392.0,778.0,4878.7971,5120.94
南宁,2022,392.6795,838.9332,5521.8223,5218.35
南宁,2023,400.8778,816.4829,6117.1299,5469.0
南宁,2024,381.1575,796.9934,6713.2205,5995.36
南昌,2006,68.1075,93.3749,733.8474,1183.8973
南昌,2007,87.2199,116.8596,744.5682,1389.892
南昌,2008,102.1477,148.17,955.4016,1660.0847
南昌,2009,115.8798,181.7495,1181.8238,1838.0
南昌,2010,146.465,232.0305,1417.5807,2200.1
南昌,2011,187.0259,299.3677,1603.9632,2688.8724
南昌,2012,240.0205,345.5062,1853.5679,3000.5
南昌,2013,291.9097,419.3652,2051.1635,3336.0265
南昌,2014,342.2065,473.1561,2149.3277,3667.9635
南昌,2015,389.3412,543.1789,2491.3925,4000.014
南昌,2016,402.1831,583.2565,2722.4199,4354.9927
南昌,2017,417.0774,653.1223,2869.8392,5003.1896
南昌,2018,461.7462,752.4137,3132.045,5274.6716
南昌,2019,476.9998,834.1066,3618.0632,5596.0
南昌,2020,483.8581,838.1744,4278.6505,5746.0
南昌,2021,484.8319,870.0084,4737.9847,6650.53
南昌,2022,457.678,939.0409,5750.3712,7203.5
南昌,2023,500.1818,925.5526,6641.7365,7213.0
南昌,2024,526.2059,940.0703,7516.1403,7800.37
厦门,2006,136.1653,159.1253,680.8196,1168.0229
厦门,2007,186.5262,198.6559,739.998,1387.852
厦门,2008,220.2343,238.0896,929.4447,1560.0218
厦门,2009,240.5608,268.0527,1158.0996,1737.0
厦门,2010,289.1748,306.9468,1384.666,2060.1
厦门,2011,370.7718,389.0726,1558.7417,2539.3132
厦门,2012,422.9089,460.9779,1680.1926,2817.1
厦门,2013,490.5996,516.7402,1950.1009,3018.1565
厦门,2014,543.7986,548.2525,1972.0201,3273.5772
厦门,2015,606.0967,651.1705,2050.2746,3466.0288
厦门,2016,647.9366,758.6381,2172.0007,3784.2662
厦门,2017,696.866,797.0976,2292.056,4351.7
厦门,2018,754.5412,892.4985,2610.177,4791.4131
厦门,2019,768.3751,912.977,3062.0,5995.0
厦门,2020,783.9392,976.9054,3684.3858,6384.0
厦门,2021,880.9611,1060.0015,4197.7867,7033.89
厦门,2022,883.8107,1088.7431,5213.3921,7802.66
厦门,2023,932.1359,1084.6541,5963.1828,8066.0
厦门,2024,933.3486,1059.1976,6546.1784,8589.01
合肥,2006,79.4046,102.8869,624.56,1073.76
合肥,2007,169.3175,167.0789,673.0856,1334.6102
合肥,2008,222.0776,222.2517,852.8294,1664.84
合肥,2009,180.8977,245.8575,1031.8141,2102.0
合肥,2010,259.4283,317.7157,1233.7343,2701.6
合肥,2011,338.5113,474.8895,1689.5435,3636.6
合肥,2012,389.4991,572.0987,2065.5745,4164.3
合肥,2013,438.6226,630.8885,2355.7723,4672.91
合肥,2014,500.342,698.7901,2539.4998,5157.9732
合肥,2015,571.544,772.6647,3018.5366,5660.27
合肥,2016,614.8493,859.8503,3281.2636,6274.3777
合肥,2017,655.9039,965.3444,3489.1815,7213.4476
合肥,2018,712.4862,1004.9099,4003.407,7822.9061
合肥,2019,745.9934,1122.6669,4667.2164,9409.0
合肥,2020,762.9009,1164.3459,5589.4046,10046.0
合肥,2021,844.2188,1223.7236,6394.1404,11412.8
合肥,2022,909.2546,1380.1794,7958.0409,12013.1
合肥,2023,929.6276,1411.3371,9387.1358,12674.0
合肥,2024,955.0095,1581.0585,10785.8387,13507.69
呼和浩特,2006,45.5202,75.4985,453.0845,900.0845
呼和浩特,2007,57.9618,100.5133,511.3839,1101.1331
呼和浩特,2008,82.2459,133.1795,640.5628,1316.37
呼和浩特,2009,106.7947,165.1584,775.8896,1644.0
呼和浩特,2010,126.7617,177.28,929.81,1865.7
呼和浩特,2011,151.4252,255.668,1053.68,2177.2669
呼和浩特,2012,178.6447,275.3195,1243.2682,2475.6
呼和浩特,2013,182.0177,294.8353,1414.6189,2710.39
呼和浩特,2014,211.5389,310.9084,1480.8828,2894.05
呼和浩特,2015,247.4021,360.645,1683.9561,3090.52
呼和浩特,2016,269.653,419.9738,1866.0141,3173.59
呼和浩特,2017,201.502,403.0357,1953.4119,2743.72
呼和浩特,2018,204.7198,356.7396,2174.0867,2903.5
呼和浩特,2019,203.1169,417.9245,2391.6363,2791.0
呼和浩特,2020,217.1024,438.5688,2623.7502,2801.0
呼和浩特,2021,228.9248,420.7504,2893.0958,3121.43
呼和浩特,2022,230.8711,420.9756,3372.4633,3329.1
呼和浩特,2023,238.0592,592.973,3903.7037,3802.0
呼和浩特,2024,255.1216,581.6105,3771.4489,4107.08
哈尔滨,2006,118.2934,194.6839,1563.8334,2094.0751
哈尔滨,2007,132.0495,232.3833,1541.1019,2436.8044
哈尔滨,2008,164.0056,301.2746,1916.7579,2868.1851
哈尔滨,2009,193.3598,348.4127,2249.5467,3175.0
哈尔滨,2010,238.1428,452.9706,2580.1409,3664.9
哈尔滨,2011,300.319,557.1368,2896.5659,4242.1894
哈尔滨,2012,354.716,643.5756,3320.6732,4550.2
哈尔滨,2013,402.2808,709.7811,3593.5628,5017.0491
哈尔滨,2014,423.5203,740.078,3768.8193,5340.0715
哈尔滨,2015,407.7328,824.8444,4370.4197,5751.2119
哈尔滨,2016,376.2384,876.2945,4671.897,6101.6096
哈尔滨,2017,368.1048,958.4676,4938.373,6355.0487
哈尔滨,2018,384.3671,962.1654,5394.256,6300.4794
哈尔滨,2019,370.9066,1101.1389,6291.8401,5249.0
哈尔滨,2020,339.5674,1162.2493,7311.3923,5184.0
哈尔滨,2021,365.8149,992.0759,8187.2016,5351.66
哈尔滨,2022,262.2,1065.5,9645.654,5490.1
哈尔滨,2023,313.0744,1080.697,11005.5949,5576.0
哈尔滨,2024,337.8436,1257.5552,12056.2573,6016.33
大连,2006,196.1357,266.5249,1866.4886,2569.6699
大连,2007,267.9757,344.5728,1836.9933,3130.6789
大连,2008,339.0691,410.0013,2388.9658,3858.2471
大连,2009,400.234,471.1648,2930.6487,4350.0
大连,2010,500.8322,611.4743,3374.8155,5158.2
大连,2011,651.1266,734.9406,3672.2094,6150.6265
大连,2012,750.1085,890.959,4160.468,7002.8
大连,2013,850.1646,1083.536,4483.7717,7650.7861
大连,2014,780.8645,989.4552,4666.7061,7655.5761
大连,2015,579.913,910.6922,5107.8913,7731.6363
大连,2016,611.9041,870.2783,5277.6562,6810.1998
大连,2017,657.6367,919.8403,5414.4951,7363.9182
大连,2018,703.9857,1001.4898,6039.9697,7668.4823
大连,2019,692.8397,1016.2849,6842.2887,7002.0
大连,2020,702.6822,1001.9838,7843.7553,7030.0
大连,2021,737.5978,980.0549,8686.0667,7825.95
大连,2022,669.766,991.0839,10070.2174,8430.95
大连,2023,750.2361,1013.5047,11390.7291,8753.0
大连,2024,774.7741,1085.1441,12401.4925,9516.87
天津,2006,417.0479,543.1219,2808.1,3592.5
天津,2007,540.439,674.3262,3083.07,4229.8
天津,2008,675.6186,867.7245,3978.04,5278.3
天津,2009,821.9916,1124.2778,4885.86,5828.6
天津,2010,1068.8093,1376.8395,5558.2339041591,6991.6
天津,2011,1455.13,1796.33,6123.0772715164,8240.8
天津,2012,1760.0201,2143.2125,7055.4,9193.0
天津,2013,2079.0716,2549.2061,7612.3069626508,10075.2
天津,2014,2390.3518,2884.6993,7916.9,10749.2
天津,2015,2667.11,3232.3507,8743.7889,10889.2
天津,2016,2723.5,3699.43,9125.3832,11487.0
天津,2017,2310.3552,3282.5404,9558.0478,12468.2
天津,2018,2106.2397,3103.1579,10746.1653,13411.1
天津,2019,2410.41,3555.7052,12639.6371,14097.2
天津,2020,1923.1103,3151.3505,14865.7121,14230.8
天津,2021,2141.0606,3152.5478,16244.1217,16093.2
天津,2022,1846.6866,2729.8298,19211.245,16588.5
天津,2023,2027.51,3280.42,21996.8247,17211.8
天津,2024,2134.1963,3627.181,24069.6285,17931.3
太原,2006,75.3306,95.4238,1183.9536,1013.6482
太原,2007,88.417,155.8029,1307.2386,1254.9447
太原,2008,116.9224,152.8553,1728.9231,1468.0851
太原,2009,117.5322,159.9051,2085.0017,1545.0
太原,2010,138.4809,189.6358,2386.7861,1778.1
太原,2011,174.7179,239.3147,2775.5685,2080.1243
太原,2012,215.6654,277.4437,3021.4991,2311.4
太原,2013,247.3261,319.109,3307.9851,2412.8724
太原,2014,258.8527,322.6934,3325.7782,2531.0917
太原,2015,274.2403,419.9913,3432.12,2735.3442
太原,2016,282.6893,424.0666,3661.76,2955.6045
太原,2017,311.8503,479.0558,4384.88,3382.1819
太原,2018,373.2275,542.4589,4767.46,3884.4778
太原,2019,386.6164,610.553,5252.08,4029.0
太原,2020,378.4351,647.3448,5896.93,4153.0
太原,2021,423.4439,628.9857,6566.4,5121.61
太原,2022,437.4837,715.8959,7761.93,5571.17
太原,2023,449.2358,777.2629,8825.188,5574.0
太原,2024,440.2649,744.3766,9741.1974,5418.87
宁波,2006,257.3799,292.6969,1752.0388,2874.4435
宁波,2007,329.1218,371.04,1856.0788,3435.0042
宁波,2008,390.3874,439.4083,2365.1493,3964.0472
宁波,2009,432.8003,506.0788,2901.7634,4329.0
宁波,2010,530.9278,600.7447,3312.1737,5163.0
宁波,2011,657.5531,750.7233,3696.2819,6059.2409
宁波,2012,725.5003,828.4437,4175.9634,6582.2
宁波,2013,792.808,939.8939,4562.3634,7128.8672
宁波,2014,860.6109,1000.8563,4780.3126,7610.2816
宁波,2015,1006.4065,1252.6362,5302.8406,8003.6103
宁波,2016,1114.5409,1289.2601,5689.4416,8686.4911
宁波,2017,1245.288,1410.6049,5902.6776,9842.1
宁波,2018,1379.6865,1594.1,6561.2648,10745.4632
宁波,2019,1468.5072,1767.8895,7475.4684,11985.0
宁波,2020,1510.8432,1742.0878,8522.0707,12409.0
宁波,2021,1723.1388,1944.4158,9387.3063,14594.92
宁波,2022,1680.2309,2187.8133,11749.7481,15704.3
宁波,2023,1785.8565,2235.0944,14282.0093,16453.0
宁波,2024,1790.4654,2230.3651,16255.5179,18147.7
广州,2006,427.0831,506.7899,5562.3554,6073.8277
广州,2007,523.7862,623.6917,5855.79,7109.1814
广州,2008,621.8355,713.3508,7111.27,8215.8151
广州,2009,702.6527,789.9155,8214.21,9138.0
广州,2010,872.647,977.3199,9302.33,10748.3
广州,2011,979.48,1181.25,10032.62,12423.439
广州,2012,1102.3961,1343.6451,11310.69,13551.2
广州,2013,1141.8044,1386.1349,12496.6918,15420.1434
广州,2014,1243.1035,1436.2226,12825.6427,16706.8719
广州,2015,1349.4742,1727.7176,13602.3823,18100.4136
广州,2016,1393.6442,1943.7465,13995.7861,19547.442
广州,2017,1536.7365,2186.013,14625.6284,21503.1516
广州,2018,1634.2242,2506.1818,16042.0619,22859.3471
广州,2019,1699.0383,2865.3263,17980.5558,23629.0
广州,2020,1722.7892,2952.6468,20774.1257,25019.0
广州,2021,1884.257,3021.1834,22768.5313,28231.97
广州,2022,1855.0953,3022.4506,26479.869,28839.0
广州,2023,1945.0562,2971.6481,29714.9503,30356.0
广州,2024,1954.7351,2782.4982,32394.0385,31032.5
成都,2006,186.7703,252.2439,2411.4509,2750.4776
成都,2007,286.3772,356.0453,2466.3956,3324.1677
成都,2008,354.6938,506.4309,3264.7872,3900.9857
成都,2009,387.3626,600.9694,4233.7109,4503.0
成都,2010,526.94,777.38,5071.372,5551.3
成都,2011,680.6929,857.8696,5944.7689,6854.5786
成都,2012,780.8952,983.8477,7060.0314,8138.9
成都,2013,898.5395,1161.7542,8151.589,9108.8904
成都,2014,1025.1696,1340.0037,8976.9401,10056.5926
成都,2015,1157.6393,1468.4242,9922.1841,10801.1633
成都,2016,1175.4109,1595.8949,10808.0,12170.2335
成都,2017,1275.5334,1756.6621,11970.8368,13889.394
成都,2018,1424.155,1837.4238,13141.4672,15342.7716
成都,2019,1482.9607,2006.9493,14900.5522,17013.0
成都,2020,1520.3788,2159.4765,17084.9889,17717.0
