city,year,A0302,A0309,A030B,A030A,A030C
上海,2006,1275.5938,3025.4003,7196.00014583194,2615.4915,7039.00012674482
上海,2007,1307.5256,3694.9578,8360.99995512804,3279.1745,8252.99995471421
上海,2008,1435.7349,2339.29,8195.0,2007.48,8115.0
上海,2009,1462.0724,3372.45,12840.0,2928.04,12364.0
上海,2010,1980.68,2060.96,14464.0,1690.82,14290.0
上海,2011,2253.8314,1790.8598,14603.2352728002,1499.9998,13565.8338087778
上海,2012,2381.3574,1898.459,14061.3739880608,1592.6284,13869.8832696943
上海,2013,2819.5915,2382.2014,16420.0,2015.8086,16192.0
上海,2014,3206.4773,2084.6637,16787.0,1780.9092,16415.0
上海,2015,3468.9415,2431.3599,20949.0,2009.1663,21501.0
上海,2016,3709.0311,2705.6889,24747.0,2019.7967,25910.0
上海,2017,3856.5278,1691.6016,23804.0,1341.6197,24866.0
上海,2018,4033.1832,1767.01,26890.0770227673,1333.2914,28981.1057057744
上海,2019,4231.3761,1696.3432,30677.0,1353.6992,32926.0
上海,2020,4698.7486,1789.1616,33798.0,1434.0696,36741.0
上海,2021,5035.1841,1880.4536,36102.0,1489.946,40974.0
上海,2022,4979.5393,1852.8837,40302.0,1561.5112,44430.0
上海,2023,6062.0387,1811.7051,40170.0,1456.9583,45997.0
上海,2024,6228.9059,1656.8637,41484.0,1356.729,47223.0
上海,2025,,,,,
乌鲁木齐,2006,53.1084,413.4524,2166.36304445203,381.9029,2020.94040134285
乌鲁木齐,2007,81.7958,498.6926,2667.13602728414,468.08,2528.46949239446
乌鲁木齐,2008,99.9631,296.1,3244.0,265.06,3031.0
乌鲁木齐,2009,113.2955,537.27,3446.0,505.57,3285.0
乌鲁木齐,2010,143.03,444.61,4524.0,405.3,4265.0
乌鲁木齐,2011,194.292,465.8373,5253.78281215351,421.507,4969.78223374701
乌鲁木齐,2012,220.6935,371.6101,5639.11745132869,337.2962,5255.03993226132
乌鲁木齐,2013,270.5936,535.6684,6111.0,488.5382,5858.0
